venue_id,sessions
"madison-square-garden-nhl","4475"
"td-garden-nhl","1906"
"scotiabank-place-nhl","1717"
"wells-fargo-center-nhl","1624"
"scottrade-center-nhl","1447"
"united-center-nhl","1416"
"bridgestone-arena-nhl","1393"
"xcel-energy-center-nhl","1383"
"verizon-center-nhl","1330"
"consol-energy-center-nhl","1325"
"rogers-place-hockey","1254"
"hsbc-arena-nhl","1124"
"bell-centre-nhl","1102"
"air-canada-centre-nhl","800"
"hp-pavilion-at-san-jose-nhl","779"
"rogers-arena-nhl","711"
"pepsi-center-nhl","704"
"honda-center-nhl","703"
"nationwide-arena-nhl","687"
"st-petes-time-forum-nhl","597"
"bankatlantic-center-nhl","553"
"jobing-arena-nhl","533"
"american-airlines-center-nhl","512"
"prudential-center-nhl","507"
"pengrowth-saddledome-nhl","498"
"barclays-center-hockey","494"
"mts-centre-nhl","465"
"staples-center-nhl","404"
"rbc-center-nhl","404"
